Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,18918.099609,18987.400391,18811.300781,18875.300781,18875.300781,193011000
2023-10-27,18916.099609,18927.400391,18692.099609,18737.400391,18737.400391,169618100
2023-10-30,18794.500000,18966.800781,18762.300781,18856.800781,18856.800781,175898200
2023-10-31,18883.800781,18928.199219,18823.900391,18873.500000,18873.500000,255771100
2023-11-01,18926.199219,19089.699219,18907.699219,19079.000000,19079.000000,211870500
2023-11-02,19162.400391,19640.099609,19162.400391,19626.300781,19626.300781,223991900
2023-11-03,19701.300781,19888.400391,19690.300781,19824.900391,19824.900391,241029200
2023-11-06,19850.300781,19905.400391,19710.000000,19743.900391,19743.900391,178950300
2023-11-07,19701.300781,19701.300781,19530.699219,19575.599609,19575.599609,228639800
2023-11-08,19566.400391,19646.000000,19479.400391,19530.199219,19530.199219,196549500
2023-11-09,19578.800781,19791.099609,19578.800781,19587.400391,19587.400391,204740300
2023-11-10,19596.199219,19655.900391,19503.199219,19654.500000,19654.500000,170463500
2023-11-13,19637.699219,19775.599609,19606.300781,19709.199219,19709.199219,149713900
2023-11-14,19863.500000,20071.000000,19863.500000,20023.699219,20023.699219,223084300
2023-11-15,20061.000000,20139.300781,20035.400391,20057.900391,20057.900391,218852500
2023-11-16,20051.500000,20089.500000,19969.900391,20053.099609,20053.099609,216366800
2023-11-17,20096.500000,20206.599609,20096.500000,20175.800781,20175.800781,190919700
2023-11-20,20166.199219,20262.000000,20125.900391,20246.500000,20246.500000,165146100
2023-11-21,20222.800781,20259.500000,20104.300781,20110.000000,20110.000000,192164500
2023-11-22,20123.199219,20168.699219,20048.900391,20114.000000,20114.000000,200963400
